indexInDoc	token	ssplit	posTag
624	them	--	NN
625	and	--	OO
626	a	--	OO
627	Miss	--	NN
628	Taylor	--	NN
629	in	--	OO
630	the	--	OO
631	house	--	NN
632	and	--	OO
633	with	--	OO
634	all	--	OO
635	her	--	JJ
636	advantages	--	NN
637	natural	--	JJ
638	and	--	OO
639	domestic	--	JJ
640	she	--	NN
641	was	--	VB
642	now	--	RB
643	in	--	OO
644	great	--	JJ
645	danger	--	NN
646	of	--	OO
647	suffering	--	VB
648	from	--	OO
649	intellectual	--	JJ
650	solitude	SPLIT	NN
651	She	--	NN
652	dearly	--	RB
653	loved	--	VB
654	her	--	JJ
655	father	--	NN
656	but	--	OO
657	he	--	NN
658	was	--	VB
659	no	--	OO
660	companion	--	NN
661	for	--	OO
662	her	SPLIT	NN
663	He	--	NN
664	could	--	VB
665	not	--	RB
666	meet	--	VB
667	her	--	??
668	in	--	OO
669	conversation	--	NN
670	rational	--	JJ
671	or	--	OO
672	playful	SPLIT	??
673	The	--	OO
674	evil	--	NN
675	of	--	OO
676	the	--	OO
677	actual	--	JJ
678	disparity	--	NN
679	in	--	OO
680	their	--	JJ
681	ages	--	NN
682	and	--	OO
683	Mr	--	NN
684	Woodhouse	--	NN
685	had	--	VB
686	not	--	RB
687	married	--	??
688	early	--	??
689	was	--	VB
690	much	--	RB
691	increased	--	VB
692	by	--	OO
693	his	--	JJ
694	constitution	--	NN
695	and	--	OO
696	habits	--	NN
697	for	--	OO
698	having	--	VB
699	been	--	VB
700	a	--	OO
701	valetudinarian	--	NN
702	all	--	OO
703	his	--	JJ
704	life	--	NN
705	without	--	OO
706	activity	--	NN
707	of	--	OO
708	mind	--	NN
709	or	--	OO
710	body	--	NN
711	he	--	NN
712	was	--	VB
713	a	--	OO
714	much	--	??
715	older	--	JJ
716	man	--	NN
717	in	--	OO
718	ways	--	NN
719	than	--	OO
720	in	--	OO
721	years	--	NN
722	and	--	OO
723	though	--	??
724	everywhere	--	RB
725	beloved	--	JJ
726	for	--	OO
727	the	--	OO
728	friendliness	--	NN
729	of	--	OO
730	his	--	JJ
731	heart	--	NN
732	and	--	OO
733	his	--	JJ
734	amiable	--	JJ
735	temper	--	NN
736	his	--	JJ
737	talents	--	NN
738	could	--	VB
739	not	--	RB
740	have	--	VB
741	recommended	--	VB
742	him	--	NN
743	at	--	OO
744	any	--	OO
745	time	SPLIT	NN
