tokenInText	tokenInSentence	sentenceNumber	token	posTag	lemma	neTag
96	15	5	architecturally	RB	architecturally	
97	16	5	with	IN	with	
98	17	5	the	DT	the	
99	18	5	bones	NNS	bone	
100	19	5	.	.	.	
101	1	6	Marlow	NNP	marlow	PERSON
102	2	6	sat	VBD	sit	
103	3	6	cross	NN	cross	
104	4	6	-	HYPH	-	
105	5	6	legged	VBN	legged	
106	6	6	right	JJ	right	
107	7	6	aft	NN	aft	
108	8	6	,	,	,	
109	9	6	leaning	VBG	lean	
110	10	6	against	IN	against	
111	11	6	the	DT	the	
112	12	6	mizzen	NN	mizzen	
113	13	6	-	HYPH	-	
114	14	6	mast	NN	mast	
115	15	6	.	.	.	
116	1	7	He	PRP	he	
117	2	7	had	VBD	have	
118	3	7	sunken	VBN	sink	
119	4	7	cheeks	NNS	cheek	
120	5	7	,	,	,	
121	6	7	a	DT	a	
122	7	7	yellow	JJ	yellow	
123	8	7	complexion	NN	complexion	
124	9	7	,	,	,	
125	10	7	a	DT	a	
126	11	7	straight	RB	straight	
127	12	7	back	NN	back	
128	13	7	,	,	,	
129	14	7	an	DT	an	
130	15	7	ascetic	JJ	ascetic	
131	16	7	aspect	NN	aspect	
132	17	7	,	,	,	
133	18	7	and	CC	and	
134	19	7	,	,	,	
135	20	7	with	IN	with	
136	21	7	his	PRP$	his	
137	22	7	arms	NNS	arm	
138	23	7	dropped	VBD	drop	
139	24	7	,	,	,	
140	25	7	the	DT	the	
141	26	7	palms	NNS	palm	
142	27	7	of	IN	of	
143	28	7	hands	NNS	hand	
144	29	7	outwards	RB	outwards	
145	30	7	,	,	,	
146	31	7	resembled	VBD	resemble	
147	32	7	an	DT	an	
148	33	7	idol	NN	idol	
149	34	7	.	.	.	
150	1	8	The	DT	the	
151	2	8	director	NN	director	
152	3	8	,	,	,	
153	4	8	satisfied	VBD	satisfy	
154	5	8	the	DT	the	
155	6	8	anchor	NN	anchor	
156	7	8	had	VBD	have	
157	8	8	good	JJ	good	
158	9	8	hold	NN	hold	
159	10	8	,	,	,	
160	11	8	made	VBD	make	
161	12	8	his	PRP$	his	
162	13	8	way	NN	way	
163	14	8	aft	NN	aft	
164	15	8	and	CC	and	
165	16	8	sat	VBD	sit	
166	17	8	down	RP	down	
167	18	8	amongst	IN	amongst	
168	19	8	us	PRP	us	
169	20	8	.	.	.	
170	1	9	We	PRP	we	
171	2	9	exchanged	VBD	exchange	
172	3	9	a	DT	a	
173	4	9	few	JJ	few	
174	5	9	words	NNS	word	
175	6	9	lazily	RB	lazily	
176	7	9	.	.	.	
177	1	10	Afterwards	RB	afterwards	
178	2	10	there	EX	there	
179	3	10	was	VBD	be	
180	4	10	silence	NN	silence	
181	5	10	on	IN	on	
182	6	10	board	NN	board	
183	7	10	the	DT	the	
184	8	10	yacht	NN	yacht	
185	9	10	.	.	.	
186	1	11	For	IN	for	
187	2	11	some	DT	some	
188	3	11	reason	NN	reason	
189	4	11	or	CC	or	
190	5	11	other	JJ	other	
191	6	11	we	PRP	we	
192	7	11	did	VBD	do	
193	8	11	not	RB	not	
194	9	11	begin	VB	begin	
195	10	11	that	DT	that	
196	11	11	game	NN	game	
197	12	11	of	IN	of	
198	13	11	dominoes	NN	domino	
199	14	11	.	.	.	
200	1	12	We	PRP	we	
201	2	12	felt	VBD	feel	
202	3	12	meditative	JJ	meditative	
203	4	12	,	,	,	
204	5	12	and	CC	and	
205	6	12	fit	VB	fit	
206	7	12	for	IN	for	
207	8	12	nothing	NN	nothing	
208	9	12	but	CC	but	
209	10	12	placid	JJ	placid	
210	11	12	staring	NN	staring	
211	12	12	.	.	.	
212	1	13	The	DT	the	DATE
213	2	13	day	NN	day	DATE
214	3	13	was	VBD	be	
215	4	13	ending	VBG	end	
216	5	13	in	IN	in	
217	6	13	a	DT	a	
218	7	13	serenity	NN	serenity	
219	8	13	of	IN	of	
220	9	13	still	RB	still	
221	10	13	and	CC	and	
222	11	13	exquisite	JJ	exquisite	
223	12	13	brilliance	NN	brilliance	
224	13	13	.	.	.	
225	1	14	The	DT	the	
226	2	14	water	NN	water	
227	3	14	shone	NN	shone	
228	4	14	pacifically	RB	pacifically	
229	5	14	;	:	;	
230	6	14	the	DT	the	
231	7	14	sky	NN	sky	
232	8	14	,	,	,	
233	9	14	without	IN	without	
234	10	14	a	DT	a	
235	11	14	speck	NN	speck	
236	12	14	,	,	,	
237	13	14	was	VBD	be	
238	14	14	a	DT	a	
239	15	14	benign	JJ	benign	
240	16	14	immensity	NN	immensity	
241	17	14	of	IN	of	
242	18	14	unstained	JJ	unstained	
243	19	14	light	NN	light	
244	20	14	;	:	;	
245	21	14	the	DT	the	
246	22	14	very	RB	very	
247	23	14	mist	NN	mist	
248	24	14	on	IN	on	
249	25	14	the	DT	the	
250	26	14	Essex	NNP	essex	ORG
251	27	14	marsh	NN	marsh	
252	28	14	was	VBD	be	
253	29	14	like	IN	like	
254	30	14	a	DT	a	
255	31	14	gauzy	JJ	gauzy	
256	32	14	and	CC	and	
257	33	14	radiant	JJ	radiant	
258	34	14	fabric	NN	fabric	
259	35	14	,	,	,	
260	36	14	hung	VBD	hang	
261	37	14	from	IN	from	
262	38	14	the	DT	the	
263	39	14	wooded	JJ	wooded	
264	40	14	rises	VBZ	rise	
265	41	14	inland	NN	inland	
266	42	14	,	,	,	
267	43	14	and	CC	and	
268	44	14	draping	VBG	drape	
269	45	14	the	DT	the	
270	46	14	low	JJ	low	
271	47	14	shores	NNS	shore	
272	48	14	in	IN	in	
273	49	14	diaphanous	JJ	diaphanous	
274	50	14	folds	NNS	fold	
275	51	14	.	.	.	
276	1	15	Only	RB	only	
277	2	15	the	DT	the	
278	3	15	gloom	NN	gloom	
279	4	15	to	IN	to	
280	5	15	the	DT	the	
281	6	15	west	NN	west	
282	7	15	,	,	,	
283	8	15	brooding	VBG	brood	
284	9	15	over	IN	over	
285	10	15	the	DT	the	
286	11	15	upper	JJ	upper	
287	12	15	reaches	NNS	reach	
288	13	15	,	,	,	
289	14	15	became	VBD	become	
290	15	15	more	RBR	more	
291	16	15	sombre	JJ	sombre	
292	17	15	every	DT	every	
293	18	15	minute	NN	minute	
294	19	15	,	,	,	
295	20	15	as	IN	as	
296	21	15	if	IN	if	
297	22	15	angered	VBN	anger	
298	23	15	by	IN	by	
299	24	15	the	DT	the	
300	25	15	approach	NN	approach	
301	26	15	of	IN	of	
302	27	15	the	DT	the	
303	28	15	sun	NN	sun	
304	29	15	.	.	.	
305	1	16	And	CC	and	
306	2	16	at	IN	at	
307	3	16	last	JJ	last	
308	4	16	,	,	,	
309	5	16	in	IN	in	
310	6	16	its	PRP$	its	
311	7	16	curved	JJ	curved	
312	8	16	and	CC	and	
313	9	16	imperceptible	JJ	imperceptible	
314	10	16	fall	NN	fall	
315	11	16	,	,	,	
316	12	16	the	DT	the	
317	13	16	sun	NN	sun	
318	14	16	sank	VBD	sink	
319	15	16	low	RB	low	
320	16	16	,	,	,	
321	17	16	and	CC	and	
322	18	16	from	IN	from	
323	19	16	glowing	VBG	glow	
324	20	16	white	NN	white	
325	21	16	changed	VBD	change	
326	22	16	to	IN	to	
327	23	16	a	DT	a	
328	24	16	dull	JJ	dull	
329	25	16	red	JJ	red	
330	26	16	without	IN	without	
331	27	16	rays	NNS	ray	
332	28	16	and	CC	and	
333	29	16	without	IN	without	
334	30	16	heat	NN	heat	
335	31	16	,	,	,	
336	32	16	as	IN	as	
337	33	16	if	IN	if	
338	34	16	about	RB	about	
339	35	16	to	TO	to	
340	36	16	go	VB	go	
341	37	16	out	RP	out	
342	38	16	suddenly	RB	suddenly	
343	39	16	,	,	,	
344	40	16	stricken	VBN	stricken	
345	41	16	to	IN	to	
346	42	16	death	NN	death	
347	43	16	by	IN	by	
348	44	16	the	DT	the	
349	45	16	touch	NN	touch	
350	46	16	of	IN	of	
351	47	16	that	DT	that	
352	48	16	gloom	NN	gloom	
353	49	16	brooding	VBG	brood	
354	50	16	over	IN	over	
355	51	16	a	DT	a	
356	52	16	crowd	NN	crowd	
357	53	16	of	IN	of	
358	54	16	men	NNS	man	
359	55	16	.	.	.	
360	1	17	The	DT	the	
361	2	17	swaying	NN	swaying	
362	3	17	had	VBD	have	
363	4	17	come	VBN	come	
364	5	17	to	IN	to	
365	6	17	a	DT	a	
366	7	17	halt	NN	halt	
367	8	17	and	CC	and	
368	9	17	it	PRP	it	
369	10	17	was	VBD	be	
370	11	17	dark	JJ	dark	
371	12	17	.	.	.	
372	1	18	The	DT	the	
373	2	18	Explorer	NNP	explorer	ORG
374	3	18	was	VBD	be	
375	4	18	not	RB	not	
376	5	18	comfortable	JJ	comfortable	
377	6	18	in	IN	in	
378	7	18	the	DT	the	
379	8	18	alien	JJ	alien	
380	9	18	air	NN	air	
381	10	18	.	.	.	
382	1	19	It	PRP	it	
383	2	19	felt	VBD	feel	
384	3	19	as	RB	as	
385	4	19	thick	JJ	thick	
386	5	19	as	IN	as	
387	6	19	soup	NN	soup	
388	7	19	and	CC	and	
389	8	19	he	PRP	he	
390	9	19	had	VBD	have	
391	10	19	to	TO	to	
392	11	19	breathe	VB	breathe	
393	12	19	shallowly	RB	shallowly	
394	13	19	.	.	.	
395	1	20	Even	RB	even	
396	2	20	so—	JJ	so—	
397	1	21	He	PRP	he	
398	2	21	reached	VBD	reach	
399	3	21	out	RP	out	
400	4	21	in	IN	in	
401	5	21	a	DT	a	
402	6	21	sudden	JJ	sudden	
403	7	21	need	NN	need	
404	8	21	for	IN	for	
405	9	21	company	NN	company	
406	10	21	.	.	.	
407	1	22	The	DT	the	
408	2	22	Merchant	NNP	merchant	
409	3	22	was	VBD	be	
410	4	22	warm	JJ	warm	
411	5	22	to	IN	to	
412	6	22	the	DT	the	
413	7	22	touch	NN	touch	
414	8	22	.	.	.	
415	1	23	His	PRP$	his	
416	2	23	breathing	NN	breathing	
417	3	23	was	VBD	be	
418	4	23	rough	JJ	rough	
419	5	23	,	,	,	
420	6	23	he	PRP	he	
421	7	23	moved	VBD	move	
422	8	23	in	IN	in	
423	9	23	an	DT	an	
424	10	23	occasional	JJ	occasional	
425	11	23	spasm	NN	spasm	
426	12	23	,	,	,	
427	13	23	and	CC	and	
428	14	23	was	VBD	be	
429	15	23	obviously	RB	obviously	
430	16	23	asleep	JJ	asleep	
431	17	23	.	.	.	
432	1	24	The	DT	the	
433	2	24	Explorer	NNP	explorer	ORG
434	3	24	hesitated	VBD	hesitate	
435	4	24	and	CC	and	
436	5	24	decided	VBD	decide	
437	6	24	not	RB	not	
438	7	24	to	TO	to	
439	8	24	wake	VB	wake	
440	9	24	him	PRP	him	
441	10	24	.	.	.	
442	1	25	It	PRP	it	
443	2	25	would	MD	would	
444	3	25	serve	VB	serve	
445	4	25	no	DT	no	
446	5	25	real	JJ	real	
447	6	25	purpose	NN	purpose	
448	7	25	.	.	.	
449	1	26	There	EX	there	
450	2	26	would	MD	would	
451	3	26	be	VB	be	
452	4	26	no	DT	no	
453	5	26	rescue	NN	rescue	
454	6	26	,	,	,	
455	7	26	of	IN	of	
456	8	26	course	NN	course	
457	9	26	.	.	.	
458	1	27	That	DT	that	
459	2	27	was	VBD	be	
460	3	27	the	DT	the	
461	4	27	penalty	NN	penalty	
462	5	27	paid	VBN	pay	
463	6	27	for	IN	for	
464	7	27	the	DT	the	
465	8	27	high	JJ	high	
466	9	27	profits	NNS	profit	
467	10	27	which	WDT	which	
468	11	27	unrestrained	JJ	unrestrained	
469	12	27	competition	NN	competition	
470	13	27	could	MD	could	
471	14	27	lead	VB	lead	
472	15	27	to	IN	to	
473	16	27	.	.	.	
474	1	28	The	DT	the	
475	2	28	Merchant	NN	merchant	
476	3	28	who	WP	who	
477	4	28	opened	VBD	open	
478	5	28	a	DT	a	
479	6	28	new	JJ	new	
480	7	28	planet	NN	planet	
481	8	28	could	MD	could	
482	9	28	have	VB	have	
483	10	28	a	DT	a	
484	11	28	ten	CD	ten	DATE
485	12	28	year	NN	year	DATE
486	13	28	monopoly	NN	monopoly	
487	14	28	of	IN	of	
488	15	28	its	PRP$	its	
489	16	28	trade	NN	trade	
490	17	28	,	,	,	
491	18	28	which	WDT	which	
492	19	28	he	PRP	he	
493	20	28	might	MD	may	
494	21	28	hug	VB	hug	
495	22	28	to	IN	to	
496	23	28	himself	PRP	himself	
497	24	28	or	CC	or	
498	25	28	,	,	,	
499	26	28	more	RBR	more	
500	27	28	likely	JJ	likely	
501	28	28	,	,	,	
502	29	28	rent	VB	rend	
503	30	28	out	RP	out	
504	31	28	to	IN	to	
505	32	28	all	DT	all	
506	33	28	comers	NNS	comer	
507	34	28	at	IN	at	
508	35	28	a	DT	a	
509	36	28	stiff	JJ	stiff	
510	37	28	price	NN	price	
511	38	28	.	.	.	
512	1	29	It	PRP	it	
513	2	29	followed	VBD	follow	
514	3	29	that	DT	that	
515	4	29	planets	NNS	planet	
516	5	29	were	VBD	be	
517	6	29	searched	VBN	search	
518	7	29	for	IN	for	
519	8	29	in	IN	in	
520	9	29	secrecy	NN	secrecy	
521	10	29	and	CC	and	
522	11	29	,	,	,	
523	12	29	preferably	RB	preferably	
524	13	29	,	,	,	
525	14	29	away	RB	away	
526	15	29	from	IN	from	
527	16	29	the	DT	the	
528	17	29	usual	JJ	usual	
529	18	29	trade	NN	trade	
530	19	29	routes	NNS	route	
531	20	29	.	.	.	
532	1	30	In	IN	in	
533	2	30	a	DT	a	
534	3	30	case	NN	case	
535	4	30	such	JJ	such	
536	5	30	as	IN	as	
537	6	30	theirs	PRP	theirs	
538	7	30	,	,	,	
539	8	30	then	RB	then	
540	9	30	,	,	,	
541	10	30	there	EX	there	
542	11	30	was	VBD	be	
543	12	30	little	JJ	little	
544	13	30	or	CC	or	
545	14	30	no	DT	no	
546	15	30	chance	NN	chance	
547	16	30	that	IN	that	
548	17	30	another	DT	another	
549	18	30	ship	NN	ship	
550	19	30	would	MD	would	
551	20	30	come	VB	come	
552	21	30	within	IN	within	
553	22	30	range	NN	range	
554	23	30	of	IN	of	
555	24	30	their	PRP$	their	
556	25	30	subetherics	NNS	subetherics	
557	26	30	except	IN	except	
558	27	30	for	IN	for	
559	28	30	the	DT	the	
560	29	30	most	RBS	most	
561	30	30	improbable	JJ	improbable	
562	31	30	of	IN	of	
563	32	30	coincidences	NNS	coincidence	
564	33	30	.	.	.	
565	1	31	Even	RB	even	
566	2	31	if	IN	if	
567	3	31	they	PRP	they	
568	4	31	were	VBD	be	
569	5	31	in	IN	in	
570	6	31	their	PRP$	their	
571	7	31	ship	NN	ship	
572	8	31	,	,	,	
573	9	31	that	RB	that	
574	10	31	is	RB	is	
575	11	31	,	,	,	
576	12	31	rather	RB	rather	
577	13	31	than	IN	than	
578	14	31	in	IN	in	
579	15	31	this—this—cage	NN	this—this—cage	
580	16	31	.	.	.	
581	1	32	The	DT	the	
582	2	32	Explorer	NNP	explorer	ORG
583	3	32	grasped	VBD	grasp	
584	4	32	the	DT	the	
585	5	32	thick	JJ	thick	
586	6	32	bars	NNS	bar	
587	7	32	.	.	.	
588	1	33	Even	RB	even	
589	2	33	if	IN	if	
590	3	33	they	PRP	they	
591	4	33	blasted	VBD	blast	
592	5	33	those	DT	those	
593	6	33	away	RB	away	
594	7	33	,	,	,	
595	8	33	as	IN	as	
596	9	33	they	PRP	they	
597	10	33	could	MD	could	
598	11	33	,	,	,	
599	12	33	they	PRP	they	
600	13	33	would	MD	would	
601	14	33	be	VB	be	
602	15	33	stuck	VBN	stick	
603	16	33	too	RB	too	
604	17	33	high	JJ	high	
605	18	33	in	IN	in	
606	19	33	open	JJ	open	
607	20	33	air	NN	air	
608	21	33	for	IN	for	
609	22	33	leaping	VBG	leap	
610	23	33	.	.	.	
611	1	34	It	PRP	it	
612	2	34	was	VBD	be	
613	3	34	too	RB	too	
614	4	34	bad	JJ	bad	
615	5	34	.	.	.	
616	1	35	They	PRP	they	
617	2	35	had	VBD	have	
618	3	35	landed	VBN	land	
619	4	35	twice	RB	twice	
620	5	35	before	RB	before	
621	6	35	in	IN	in	
622	7	35	the	DT	the	
623	8	35	scout	NN	scout	
624	9	35	-	HYPH	-	
625	10	35	ship	NN	ship	
626	11	35	.	.	.	
627	1	36	They	PRP	they	
628	2	36	had	VBD	have	
629	3	36	established	VBN	establish	
630	4	36	contact	NN	contact	
631	5	36	with	IN	with	
632	6	36	the	DT	the	
633	7	36	natives	NNS	native	
634	8	36	who	WP	who	
635	9	36	were	VBD	be	
636	10	36	grotesquely	RB	grotesquely	
637	11	36	huge	JJ	huge	
638	12	36	,	,	,	
639	13	36	but	CC	but	
640	14	36	mild	JJ	mild	
641	15	36	and	CC	and	
642	16	36	unaggressive	JJ	unaggressive	
643	17	36	.	.	.	
644	1	37	It	PRP	it	
645	2	37	was	VBD	be	
646	3	37	obvious	JJ	obvious	
647	4	37	that	IN	that	
648	5	37	they	PRP	they	
649	6	37	had	VBD	have	
650	7	37	once	RB	once	
651	8	37	owned	VBN	own	
652	9	37	a	DT	a	
653	10	37	flourishing	JJ	flourishing	
654	11	37	technology	NN	technology	
655	12	37	,	,	,	
656	13	37	but	CC	but	
657	14	37	had	VBD	have	
658	15	37	n't	RB	not	
659	16	37	faced	VBN	face	
660	17	37	up	RP	up	
661	18	37	to	IN	to	
662	19	37	the	DT	the	
663	20	37	consequences	NNS	consequence	
664	21	37	of	IN	of	
665	22	37	such	PDT	such	
666	23	37	a	DT	a	
667	24	37	technology	NN	technology	
668	25	37	.	.	.	
669	1	38	It	PRP	it	
670	2	38	would	MD	would	
671	3	38	have	VB	have	
672	4	38	been	VBN	be	
673	5	38	a	DT	a	
674	6	38	wonderful	JJ	wonderful	
675	7	38	market	NN	market	
676	8	38	.	.	.	
677	1	39	And	CC	and	
678	2	39	it	PRP	it	
679	3	39	was	VBD	be	
680	4	39	a	DT	a	
681	5	39	tremendous	JJ	tremendous	
682	6	39	world	NN	world	
683	7	39	.	.	.	
684	1	40	The	DT	the	
685	2	40	Merchant	NNP	merchant	
686	3	40	,	,	,	
687	4	40	especially	RB	especially	
688	5	40	,	,	,	
689	6	40	had	VBD	have	
690	7	40	been	VBN	be	
691	8	40	taken	VBN	take	
692	9	40	aback	RB	aback	
693	10	40	.	.	.	
694	1	41	He	PRP	he	
695	2	41	had	VBD	have	
696	3	41	known	VBN	know	
697	4	41	the	DT	the	
698	5	41	figures	NNS	figure	
699	6	41	that	WDT	that	
700	7	41	expressed	VBD	express	
701	8	41	the	DT	the	
702	9	41	planet	NN	planet	
703	10	41	's	POS	's	
704	11	41	diameter	NN	diameter	
705	12	41	,	,	,	
706	13	41	but	CC	but	
707	14	41	from	IN	from	
708	15	41	a	DT	a	
709	16	41	distance	NN	distance	
710	17	41	of	IN	of	
711	18	41	two	CD	two	CARDINAL
712	19	41	light	NN	light	
713	20	41	-	HYPH	-	
714	21	41	seconds	NNS	second	
715	22	41	,	,	,	
716	23	41	he	PRP	he	
717	24	41	had	VBD	have	
718	25	41	stood	VBN	stand	
719	26	41	at	IN	at	
720	27	41	the	DT	the	
721	28	41	visi	NN	visi	
722	29	41	-	HYPH	-	
723	30	41	plate	NN	plate	
724	31	41	and	CC	and	
725	32	41	muttered	VBD	mutter	
726	33	41	,	,	,	
727	34	41	"	``	"	
728	35	41	Unbelievable	JJ	unbelievable	
729	36	41	!	.	!	
730	37	41	"	''	"	
731	1	42	Several	JJ	several	
732	2	42	allocation	NN	allocation	
733	3	42	methods	NNS	method	
734	4	42	in	IN	in	
735	5	42	the	DT	the	
736	6	42	literature	NN	literature	
737	7	42	are	VBP	be	
738	8	42	based	VBN	base	
739	9	42	on	IN	on	
740	10	42	a	DT	a	
741	11	42	choice	NN	choice	
742	12	42	of	IN	of	
743	13	42	a	DT	a	
744	14	42	univariate	JJ	univariate	
745	15	42	risk	NN	risk	
746	16	42	measure	NN	measure	
747	17	42	and	CC	and	
748	18	42	an	DT	an	
749	19	42	allocation	NN	allocation	
750	20	42	principle	NN	principle	
751	21	42	.	.	.	
752	1	43	Others	NNS	others	
753	2	43	are	VBP	be	
754	3	43	based	VBN	base	
755	4	43	on	IN	on	
756	5	43	optimizing	VBG	optimize	
757	6	43	a	DT	a	
758	7	43	multivariate	JJ	multivariate	
759	8	43	ruin	NN	ruin	
760	9	43	probability	NN	probability	
761	10	43	or	CC	or	
762	11	43	some	DT	some	
763	12	43	multivariate	JJ	multivariate	
764	13	43	risk	NN	risk	
765	14	43	indicators	NNS	indicator	
766	15	43	.	.	.	
767	1	44	In	IN	in	
768	2	44	this	DT	this	
769	3	44	paper	NN	paper	
770	4	44	,	,	,	
771	5	44	we	PRP	we	
772	6	44	focus	VBP	focus	
773	7	44	on	IN	on	
774	8	44	the	DT	the	
775	9	44	allocation	NN	allocation	
776	10	44	technique	NN	technique	
777	11	44	by	IN	by	
778	12	44	minimizing	VBG	minimize	
779	13	44	some	DT	some	
780	14	44	risk	NN	risk	
781	15	44	indicators	NNS	indicator	
782	16	44	.	.	.	
783	1	45	The	DT	the	
784	2	45	literature	NN	literature	
785	3	45	on	IN	on	
786	4	45	the	DT	the	
787	5	45	subject	NN	subject	
788	6	45	of	IN	of	
789	7	45	capital	NN	capital	
790	8	45	allocation	NN	allocation	
791	9	45	methods	NNS	method	
792	10	45	is	VBZ	be	
793	11	45	very	RB	very	
794	12	45	rich	JJ	rich	
795	13	45	.	.	.	
796	1	46	Several	JJ	several	
797	2	46	principles	NNS	principle	
798	3	46	have	VBP	have	
799	4	46	been	VBN	be	
800	5	46	proposed	VBN	propose	
801	6	46	over	IN	over	
802	7	46	the	DT	the	DATE
803	8	46	last	JJ	last	DATE
804	9	46	twenty	CD	twenty	DATE
805	10	46	years	NNS	year	DATE
806	11	46	.	.	.	
807	1	47	The	DT	the	
808	2	47	most	RBS	most	
809	3	47	important	JJ	important	
810	4	47	and	CC	and	
811	5	47	most	JJS	most	
812	6	47	studied	VBN	study	
813	7	47	are	VBP	be	
814	8	47	the	DT	the	
815	9	47	Shapley	NNP	shapley	ORG
816	10	47	method	NN	method	
817	11	47	,	,	,	
818	12	47	the	DT	the	
819	13	47	Aumann	NNP	aumann	
820	14	47	-	HYPH	-	
821	15	47	Shapley	NNP	shapley	
822	16	47	method	NN	method	
823	17	47	and	CC	and	
824	18	47	the	DT	the	
825	19	47	Euler	NNP	euler	ORG
826	20	47	’s	NNP	’s	
827	21	47	method	NN	method	
828	22	47	.	.	.	
829	1	48	The	DT	the	
830	2	48	Shapley	NNP	shapley	ORG
831	3	48	method	NN	method	
832	4	48	is	VBZ	be	
833	5	48	based	VBN	base	
834	6	48	on	IN	on	
835	7	48	cooperative	JJ	cooperative	
836	8	48	game	NN	game	
837	9	48	theory	NN	theory	
838	10	48	.	.	.	
839	1	49	It	PRP	it	
840	2	49	is	VBZ	be	
841	3	49	described	VBN	describe	
842	4	49	in	IN	in	
843	5	49	detail	NN	detail	
844	6	49	in	IN	in	
845	7	49	Denault	NNP	denault	GPE
846	8	49	’s	CD	’s	
847	9	49	paper	NN	paper	
848	10	49	(	-LRB-	(	
849	11	49	2001	CD	2001	DATE
850	12	49	)	-RRB-	)	
851	13	49	[	-LRB-	[	
852	14	49	10	CD	10	CARDINAL
853	15	49	]	-RRB-	]	
854	16	49	.	.	.	
855	1	50	Denault	NNP	denault	PERSON
856	2	50	proved	VBD	prove	
857	3	50	that	IN	that	
858	4	50	this	DT	this	
859	5	50	method	NN	method	
860	6	50	,	,	,	
861	7	50	originally	RB	originally	
862	8	50	used	VBN	use	
863	9	50	to	TO	to	
864	10	50	allocate	VB	allocate	
865	11	50	the	DT	the	
866	12	50	total	JJ	total	
867	13	50	cost	NN	cost	
868	14	50	between	IN	between	
869	15	50	players	NNS	player	
870	16	50	in	IN	in	
871	17	50	coalitional	JJ	coalitional	
872	18	50	games	NNS	game	
873	19	50	context	NN	context	
874	20	50	,	,	,	
875	21	50	can	MD	can	
876	22	50	be	VB	be	
877	23	50	easily	RB	easily	
878	24	50	adapted	VBN	adapt	
879	25	50	to	TO	to	
880	26	50	solve	VB	solve	
881	27	50	the	DT	the	
882	28	50	problem	NN	problem	
883	29	50	of	IN	of	
884	30	50	the	DT	the	
885	31	50	overall	JJ	overall	
886	32	50	risk	NN	risk	
887	33	50	allocation	NN	allocation	
888	34	50	between	IN	between	
889	35	50	segments	NNS	segment	
890	36	50	.	.	.	
891	1	51	Tasche	NNP	tasche	ORG
892	2	51	devoted	VBD	devote	
893	3	51	two	CD	two	CARDINAL
894	4	51	papers	NNS	paper	
895	5	51	[	-LRB-	[	
896	6	51	21	CD	21	CARDINAL
897	7	51	]	-RRB-	]	
898	8	51	and	CC	and	
899	9	51	[	-LRB-	[	
900	10	51	22	CD	22	
901	11	51	]	-RRB-	]	
902	12	51	to	TO	to	
903	13	51	describe	VB	describe	
904	14	51	Euler	NNP	euler	ORG
905	15	51	’s	NNP	’s	ORG
906	16	51	method	NN	method	
907	17	51	.	.	.	
908	1	52	Euler	NNP	euler	PERSON
909	2	52	’s	NNP	’s	PERSON
910	3	52	method	NN	method	
