indexInText	indexInSentence	sentenceNumber	token	posTag	lemma
110	10	7	on	IN	on
111	11	7	cooperative	JJ	cooperative
112	12	7	game	NN	game
113	13	7	theory	NN	theory
114	14	7	.	.	.
115	1	8	We	PRP	We
116	2	8	found	VBD	find
117	3	8	that	IN	that
118	4	8	the	DT	the
119	5	8	model	NN	model
120	6	8	Mw	NNP	Mw
121	7	8	,	,	,
122	8	8	x	NNP	x
123	9	8	=	NNP	=
124	10	8	wx^1.2	WDT	wx^1.2
125	11	8	approximated	VBD	approximate
126	12	8	the	DT	the
127	13	8	system	NN	system
128	14	8	's	POS	's
129	15	8	behavior	NN	behavior
130	16	8	adequately	RB	adequately
131	17	8	.	.	.
132	1	9	Dr.	NNP	Dr.
133	2	9	Denault	NNP	Denault
134	3	9	proved	VBD	prove
135	4	9	that	IN	that
136	5	9	this	DT	this
137	6	9	method	NN	method
138	7	9	,	,	,
139	8	9	originally	RB	originally
140	9	9	used	VBN	use
141	10	9	to	TO	to
142	11	9	allocate	VB	allocate
143	12	9	the	DT	the
144	13	9	total	JJ	total
145	14	9	cost	NN	cost
146	15	9	between	IN	between
147	16	9	players	NNS	player
148	17	9	in	IN	in
149	18	9	coalitional	JJ	coalitional
150	19	9	games	NNS	game
151	20	9	context	JJ	context
152	21	9	,	,	,
153	22	9	can	MD	can
154	23	9	be	VB	be
155	24	9	easily	RB	easily
156	25	9	adapted	VBN	adapt
157	26	9	.	.	.
158	1	10	The	DT	The
159	2	10	case	NN	case
160	3	10	of	IN	of
161	4	10	insurance	NN	insurance
162	5	10	groups	NNS	group
163	6	10	,	,	,
164	7	10	stated	VBN	state
165	8	10	in	IN	in
166	9	10	Tab	NNP	Tab
167	10	10	.	.	.
168	1	11	2	CD	2
169	2	11	,	,	,
170	3	11	requires	VBZ	require
171	4	11	special	JJ	special
172	5	11	treatment	NN	treatment
173	6	11	.	.	.
174	1	12	The	DT	The
175	2	12	literature	NN	literature
176	3	12	on	IN	on
177	4	12	the	DT	the
178	5	12	subject	NN	subject
179	6	12	of	IN	of
180	7	12	capital	NN	capital
181	8	12	allocation	NN	allocation
182	9	12	methods	NNS	method
183	10	12	is	VBZ	be
184	11	12	very	RB	very
185	12	12	rich	JJ	rich
186	13	12	for	IN	for
187	14	12	every	DT	every
188	15	12	even	RB	even
189	16	12	publication	NN	publication
190	17	12	year	NN	year
191	18	12	2008	CD	2008
192	19	12	,	,	,
193	20	12	2010	CD	2010
194	21	12	,	,	,
195	22	12	2012	CD	2012
196	23	12	,	,	,
197	24	12	2014	CD	2014
198	25	12	etc	NN	etc
199	26	12	.	.	.
200	1	13	Several	JJ	Several
201	2	13	principles	NNS	principle
202	3	13	have	VBP	have
203	4	13	been	VBN	be
204	5	13	proposed	VBN	propose
205	6	13	later	RBR	later
206	7	13	than	IN	than
207	8	13	the	DT	the
208	9	13	deadline	NN	deadline
209	10	13	of	IN	of
210	11	13	6	CD	6
211	12	13	p.m.	NN	p.m.
212	13	13	over	IN	over
213	14	13	the	DT	the
214	15	13	last	JJ	last
215	16	13	twenty	NN	twenty
216	17	13	years	NNS	year
217	18	13	.	.	.
218	1	14	In	IN	In
219	2	14	this	DT	this
220	3	14	context	NN	context
221	4	14	,	,	,
222	5	14	i.e	NN	i.e
223	6	14	.	.	.
224	1	15	SCR	NNP	SCR
225	2	15	calculations	NNS	calculation
226	3	15	,	,	,
227	4	15	a	DT	a
228	5	15	multi-variate	JJ	multi-variate
229	6	15	analysis	NN	analysis
230	7	15	was	VBD	be
231	8	15	defined	VBN	define
232	9	15	.	.	.
233	1	16	They	PRP	They
234	2	16	are	VBP	be
235	3	16	based	VBN	base
236	4	16	on	IN	on
237	5	16	a	DT	a
238	6	16	strengthening	NN	strengthening
239	7	16	of	IN	of
240	8	16	risk	NN	risk
241	9	16	control	NN	control
242	10	16	and	CC	and
243	11	16	minimization	NN	minimization
244	12	16	of	IN	of
245	13	16	a	DT	a
246	14	16	ruin	NN	ruin
247	15	16	probability	NN	probability
248	16	16	,	,	,
249	17	16	Boolean	NNP	Boolean
250	18	16	et	CC	et
251	19	16	al	NN	al
252	20	16	.	.	.
253	1	17	first	RB	first
254	2	17	introduced	VBN	introduce
255	3	17	this	DT	this
256	4	17	method	NN	method
257	5	17	.	.	.
258	1	18	St.	NNP	St.
259	2	18	Francis	NNP	Francis
260	3	18	began	VBD	begin
261	4	18	selling	VBG	sell
262	5	18	commodities	NNS	commodity
263	6	18	on	IN	on
264	7	18	three	CD	three
265	8	18	different	JJ	different
266	9	18	exchanges	NNS	exchange
267	10	18	in	IN	in
268	11	18	the	DT	the
269	12	18	same	JJ	same
270	13	18	year	NN	year
271	14	18	.	.	.
272	1	19	However	RB	However
273	2	19	,	,	,
274	3	19	we	PRP	we
275	4	19	were	VBD	be
276	5	19	n't	RB	n't
277	6	19	able	JJ	able
278	7	19	to	TO	to
279	8	19	reach	VB	reach
280	9	19	Profs	NNP	Profs
281	10	19	.	.	.
282	1	20	Kowalski	NNP	Kowalski
283	2	20	or	CC	or
284	3	20	Gambel	NNP	Gambel
285	4	20	for	IN	for
286	5	20	comment	NN	comment
287	6	20	.	.	.
288	1	21	The	DT	The
289	2	21	rusty	JJ	rusty
290	3	21	vehicle	NN	vehicle
291	4	21	sped	VBD	speed
292	5	21	around	IN	around
293	6	21	the	DT	the
294	7	21	corner	NN	corner
295	8	21	on	IN	on
296	9	21	Bragg	NNP	Bragg
297	10	21	Blvd.	NNP	Blvd.
298	11	21	,	,	,
299	12	21	followed	VBD	follow
300	13	21	closely	RB	closely
301	14	21	by	IN	by
302	15	21	a	DT	a
303	16	21	squad	NN	squad
304	17	21	of	IN	of
305	18	21	paratroopers	NNS	paratrooper
306	19	21	.	.	.
307	1	22	On	IN	On
308	2	22	Jan.	NNP	Jan.
309	3	22	25th	CD	25th
310	4	22	,	,	,
311	5	22	2016	CD	2016
312	6	22	,	,	,
313	7	22	the	DT	the
314	8	22	deputy	NN	deputy
315	9	22	commander	NN	commander
316	10	22	of	IN	of
317	11	22	USFK	NNP	USFK
318	12	22	made	VBD	make
319	13	22	a	DT	a
320	14	22	statement	NN	statement
321	15	22	pertaining	VBG	pertain
322	16	22	to	TO	to
323	17	22	aerial	JJ	aerial
324	18	22	shows	NNS	show
325	19	22	of	IN	of
326	20	22	force	NN	force
327	21	22	.	.	.
328	1	23	``	``	``
329	2	23	The	DT	The
330	3	23	1st	CD	1st
331	4	23	Gen.	NNP	Gen.
332	5	23	Dreamcast	NNP	Dreamcast
333	6	23	was	VBD	be
334	7	23	a	DT	a
335	8	23	pinnacle	NN	pinnacle
336	9	23	achievement	NN	achievement
337	10	23	in	IN	in
338	11	23	computer	NN	computer
339	12	23	engineering	NN	engineering
340	13	23	,	,	,
341	14	23	''	''	''
342	15	23	said	VBD	say
343	16	23	John	NNP	John
344	17	23	Stevens	NNP	Stevens
345	18	23	.	.	.
346	1	24	To	TO	To
347	2	24	be	VB	be
348	3	24	clear	JJ	clear
349	4	24	,	,	,
350	5	24	that	DT	that
351	6	24	's	VBZ	's
352	7	24	John	NNP	John
353	8	24	M.	NNP	M.
354	9	24	Stevens	NNP	Stevens
355	10	24	.	.	.
356	1	25	The	DT	The
357	2	25	coherence	NN	coherence
358	3	25	of	IN	of
359	4	25	the	DT	the
360	5	25	allocation	NN	allocation
361	6	25	method	NN	method
362	7	25	for	IN	for
363	8	25	Pickens	NNP	Pickens
364	9	25	County	NNP	County
365	10	25	,	,	,
366	11	25	S.C.	NNP	S.C.
367	12	25	depends	VBZ	depend
368	13	25	on	IN	on
369	14	25	the	DT	the
370	15	25	properties	NNS	property
371	16	25	of	IN	of
372	17	25	the	DT	the
373	18	25	selected	VBN	select
374	19	25	risk	NN	risk
375	20	25	measure	NN	measure
376	21	25	.	.	.
377	1	26	Star	NN	Star
378	2	26	Wars	NNS	Wars
379	3	26	:	:	:
380	4	26	Episode	NNP	Episode
381	5	26	VII	NNP	VII
382	6	26	-	:	-
383	7	26	The	DT	The
384	8	26	Force	NNP	Force
385	9	26	Awakens	NNP	Awakens
386	10	26	is	VBZ	be
387	11	26	a	DT	a
388	12	26	2015	JJ	2015
389	13	26	American	JJ	American
390	14	26	epic	NN	epic
391	15	26	space	NN	space
392	16	26	opera	NN	opera
393	17	26	film	NN	film
394	18	26	directed	VBD	direct
395	19	26	,	,	,
396	20	26	co-produced	JJ	co-produced
397	21	26	,	,	,
398	22	26	and	CC	and
399	23	26	co-written	JJ	co-written
400	24	26	by	IN	by
401	25	26	J.	NNP	J.
402	26	26	J.	NNP	J.
403	27	26	Abrams	NNP	Abrams
404	28	26	.	.	.
405	1	27	Did	NNP	Did
406	2	27	you	PRP	you
407	3	27	enjoy	VBP	enjoy
408	4	27	living	VBG	live
409	5	27	in	IN	in
410	6	27	Washington	NNP	Washington
411	7	27	,	,	,
412	8	27	D.C.	NNP	D.C.
413	9	27	?	.	?
414	1	28	A	DT	A
415	2	28	choices	NNS	choice
416	3	28	of	IN	of
417	4	28	a	DT	a
418	5	28	dependence	NN	dependence
419	6	28	model	NN	model
420	7	28	(	(	(
421	8	28	for	IN	for
422	9	28	more	JJR	more
423	10	28	details	NNS	detail
424	11	28	see	VBP	see
425	12	28	Fig	NNP	Fig
426	13	28	.	.	.
427	1	29	4	CD	4
428	2	29	)	)	)
429	3	29	between	IN	between
430	4	29	different	JJ	different
431	5	29	risks	NNS	risk
432	6	29	and	CC	and
433	7	29	of	IN	of
434	8	29	an	DT	an
435	9	29	aggregation	NN	aggregation
436	10	29	methodology	NN	methodology
437	11	29	are	VBP	be
438	12	29	both	DT	both
439	13	29	required	JJ	required
440	14	29	.	.	.
441	1	30	Two	CD	Two
442	2	30	papers	NNS	paper
443	3	30	by	IN	by
444	4	30	Mr.	NNP	Mr.
445	5	30	Tasche	NNP	Tasche
446	6	30	and	CC	and
447	7	30	Mrs.	NNP	Mrs.
448	8	30	deWry	NN	deWry
449	9	30	followed	VBN	follow
450	10	30	by	IN	by
451	11	30	Drs	NNP	Drs
452	12	30	.	.	.
453	1	31	dePaul	NN	dePaul
454	2	31	&	CC	&
455	3	31	Jones	NNP	Jones
456	4	31	co.	NN	co.
457	5	31	devoted	VBD	devote
458	6	31	two	CD	two
459	7	31	papers	NNS	paper
460	8	31	to	TO	to
461	9	31	describe	VB	describe
462	10	31	Euler-MacIntosh’s	NNP	Euler-MacIntosh’s
463	11	31	method	NN	method
464	12	31	.	.	.
465	1	32	Please	NNP	Please
466	2	32	send	VB	send
467	3	32	a	DT	a
468	4	32	bar	NN	bar
469	5	32	of	IN	of
470	6	32	pure	JJ	pure
471	7	32	chocolate	NN	chocolate
472	8	32	to	TO	to
473	9	32	100	CD	100
474	10	32	Springview	NNP	Springview
475	11	32	Drive	NNP	Drive
476	12	32	by	IN	by
477	13	32	Mar	NNP	Mar
478	14	32	.	.	.
479	1	33	It	PRP	It
480	2	33	is	VBZ	be
481	3	33	used	VBN	use
482	4	33	as	IN	a
483	5	33	a	DT	a
484	6	33	designation	NN	designation
485	7	33	for	IN	for
486	8	33	a	DT	a
487	9	33	person	NN	person
488	10	33	who	WP	who
489	11	33	has	VBZ	have
490	12	33	obtained	VBN	obtain
491	13	33	a	DT	a
492	14	33	Research	NNP	Research
493	15	33	Doctorate	NNP	Doctorate
494	16	33	(	(	(
495	17	33	i.e	NN	i.e
496	18	33	.	.	.
497	1	34	Ph.D.	NNP	Ph.D.
498	2	34	,	,	,
499	3	34	Ed.D	NNP	Ed.D
500	4	34	)	)	)
501	5	34	.	.	.
502	1	35	He	PRP	He
503	2	35	tweeted	VBD	tweet
504	3	35	from	IN	from
505	4	35	near	IN	near
506	5	35	the	DT	the
507	6	35	U.S.-Mexican	JJ	U.S.-Mexican
508	7	35	border	NN	border
509	8	35	.	.	.
510	1	36	Netwhatevers	NNP	Netwhatevers
511	2	36	,	,	,
512	3	36	Inc.	NNP	Inc.
513	4	36	stocks	NNS	stock
514	5	36	are	VBP	be
515	6	36	in	IN	in
516	7	36	a	DT	a
517	8	36	drastic	JJ	drastic
518	9	36	slump	NN	slump
519	10	36	according	VBG	accord
520	11	36	to	TO	to
521	12	36	recent	JJ	recent
522	13	36	reportings	NNS	reporting
523	14	36	.	.	.
524	1	37	West	NNP	West
525	2	37	's	POS	's
526	3	37	``	``	``
527	4	37	Father	NNP	Father
528	5	37	Stretch	NNP	Stretch
529	6	37	My	NNP	My
530	7	37	Hands	NNP	Hands
531	8	37	(	(	(
532	9	37	Pt	NNP	Pt
533	10	37	.	.	.
534	1	38	1	CD	1
535	2	38	)	)	)
536	3	38	''	''	''
537	4	38	inspired	VBD	inspire
538	5	38	the	DT	the
539	6	38	best	JJS	best
540	7	38	meme	NN	meme
541	8	38	of	IN	of
542	9	38	the	DT	the
543	10	38	year	NN	year
544	11	38	so	RB	so
545	12	38	far	RB	far
546	13	38	.	.	.
547	1	39	The	DT	The
548	2	39	Millennials	NNP	Millennials
549	3	39	(	(	(
550	4	39	born	VBN	bear
551	5	39	c.	RB	c.
552	6	39	1981-2000	CD	1981-2000
553	7	39	)	)	)
554	8	39	having	VBG	have
555	9	39	been	VBN	be
556	10	39	born	VBN	bear
557	11	39	before	IN	before
558	12	39	the	DT	the
559	13	39	turn	NN	turn
560	14	39	of	IN	of
561	15	39	the	DT	the
562	16	39	century	NN	century
563	17	39	give	VB	give
564	18	39	way	NN	way
565	19	39	to	TO	to
566	20	39	the	DT	the
567	21	39	rise	NN	rise
568	22	39	of	IN	of
569	23	39	Generation	NNP	Generation
570	24	39	Y	NNP	Y
571	25	39	&	CC	&
572	26	39	Generation	NNP	Generation
573	27	39	Z	NNP	Z
574	28	39	in	IN	in
575	29	39	Western	JJ	Western
576	30	39	countries	NNS	country
577	31	39	.	.	.
578	1	40	The	DT	The
579	2	40	Journal	NNP	Journal
580	3	40	of	IN	of
581	4	40	Asian	NNP	Asian
582	5	40	and	CC	and
583	6	40	African	NNP	African
584	7	40	Studies	NNP	Studies
585	8	40	(	(	(
586	9	40	J.	NNP	J.
587	10	40	Asian	NNP	Asian
588	11	40	Afr	NNP	Afr
589	12	40	.	.	.
590	1	41	Std	NNP	Std
591	2	41	.	.	.
592	3	41	)	)	)
593	1	42	is	VBZ	be
594	2	42	a	DT	a
595	3	42	bimonthly	JJ	bimonthly
596	4	42	peer-reviewed	JJ	peer-reviewed
597	5	42	academic	JJ	academic
598	6	42	journal	NN	journal
599	7	42	that	IN	that
600	8	42	covers	VBZ	cover
601	9	42	research	NN	research
602	10	42	in	IN	in
603	11	42	the	DT	the
604	12	42	fields	NNS	field
605	13	42	of	IN	of
606	14	42	Asian	NNP	Asian
607	15	42	and	CC	and
608	16	42	African	NNP	African
609	17	42	studies	NNS	study
610	18	42	.	.	.
611	1	43	The	DT	The
612	2	43	same	JJ	same
613	3	43	goes	VBZ	go
614	4	43	for	IN	for
615	5	43	eə	NN	eə
616	6	43	vs.	FW	vs.
617	7	43	ɛə	NN	ɛə
618	8	43	.	.	.
619	1	44	This	DT	This
620	2	44	displaced	VBD	displace
621	3	44	the	DT	the
622	4	44	existing	VBG	exist
623	5	44	Doctor	NNP	Doctor
624	6	44	of	IN	of
625	7	44	Philosophy	NNP	Philosophy
626	8	44	degree	NN	degree
627	9	44	in	IN	in
628	10	44	some	DT	some
629	11	44	Universities	NNS	Universities
630	12	44	;	:	;
631	13	44	for	IN	for
632	14	44	instance	NN	instance
633	15	44	,	,	,
634	16	44	the	DT	the
635	17	44	higher	JJR	higher
636	18	44	doctorate	NN	doctorate
637	19	44	in	IN	in
638	20	44	the	DT	the
639	21	44	faculty	NN	faculty
640	22	44	of	IN	of
641	23	44	philosophy	NN	philosophy
642	24	44	at	IN	at
643	25	44	the	DT	the
644	26	44	University	NNP	University
645	27	44	of	IN	of
646	28	44	St	NNP	St
647	29	44	Andrews	NNP	Andrews
648	30	44	was	VBD	be
649	31	44	discontinued	VBN	discontinue
650	32	44	and	CC	and
651	33	44	replaced	VBN	replace
652	34	44	with	IN	with
653	35	44	the	DT	the
654	36	44	Ph.D.	NNP	Ph.D.
655	37	44	(	(	(
656	38	44	research	NN	research
657	39	44	doctorate	NN	doctorate
658	40	44	)	)	)
659	41	44	.	.	.
660	1	45	Both	DT	Both
661	2	45	Mrs.	NNP	Mrs.
662	3	45	(	(	(
663	4	45	for	IN	for
664	5	45	married	VBN	marry
665	6	45	)	)	)
666	7	45	and	CC	and
667	8	45	Miss	NNP	Miss
668	9	45	(	(	(
669	10	45	for	IN	for
670	11	45	unmarried	VBN	unmarried
671	12	45	)	)	)
672	13	45	were	VBD	be
673	14	45	originally	RB	originally
674	15	45	contractions	NNS	contraction
675	16	45	of	IN	of
676	17	45	Mistress	NNP	Mistress
677	18	45	.	.	.
678	1	46	In	IN	In
679	2	46	the	DT	the
680	3	46	prescribed	JJ	prescribed
681	4	46	Standard	NNP	Standard
682	5	46	Formula	NNP	Formula
683	6	46	by	IN	by
684	7	46	Tobin’s	NNP	Tobin’s
685	8	46	q	NN	q
686	9	46	(	(	(
687	10	46	Bitzer	NNP	Bitzer
688	11	46	,	,	,
689	12	46	2005	CD	2005
690	13	46	;	:	;
691	14	46	Deng	NNP	Deng
692	15	46	,	,	,
693	16	46	2007	CD	2007
694	17	46	)	)	)
695	18	46	,	,	,
696	19	46	risks	JJ	risk
697	20	46	aggregation	NN	aggregation
698	21	46	is	VBZ	be
699	22	46	done	VBN	do
700	23	46	using	VBG	use
701	24	46	correlation	NN	correlation
702	25	46	matrices	NNS	matrix
703	26	46	that	WDT	that
704	27	46	connect	VBP	connect
705	28	46	families	NNS	family
706	29	46	and	CC	and
707	30	46	subfamilies	NNS	subfamily
708	31	46	of	IN	of
709	32	46	risks	NNS	risk
710	33	46	.	.	.
711	1	47	We	PRP	We
712	2	47	quote	VBP	quote
713	3	47	as	IN	a
714	4	47	examples	NNS	example
715	5	47	,	,	,
716	6	47	Fischer	NNP	Fischer
717	7	47	et	CC	et
718	8	47	al	NN	al
719	9	47	(	(	(
720	10	47	2003	CD	2003
721	11	47	)	)	)
722	12	47	[	VBD	[
723	13	47	12	CD	12
724	14	47	]	NN	]
725	15	47	,	,	,
726	16	47	Bush	NNP	Bush
727	17	47	and	CC	and
728	18	47	Dorfleitner	NNP	Dorfleitner
729	19	47	(	(	(
730	20	47	2008	CD	2008
731	21	47	)	)	)
732	22	47	[	VBD	[
733	23	47	5	CD	5
734	24	47	]	NN	]
735	25	47	,	,	,
736	26	47	and	CC	and
737	27	47	Kalkbrener	NNP	Kalkbrener
738	28	47	(	(	(
739	29	47	2009	CD	2009
740	30	47	)	)	)
741	31	47	[	VBD	[
742	32	47	16	CD	16
743	33	47	]	NN	]
744	34	47	.	.	.
745	1	48	30	CD	30
746	2	48	%	NN	%
747	3	48	of	IN	of
748	4	48	these	DT	these
749	5	48	sentences	NNS	sentence
750	6	48	are	VBP	be
751	7	48	entirely	RB	entirely
752	8	48	made	VBN	make
753	9	48	up	RP	up
754	10	48	.	.	.
755	1	49	The	DT	The
756	2	49	total	JJ	total
757	3	49	annual	JJ	annual
758	4	49	mortality	NN	mortality
759	5	49	decreased	VBN	decrease
760	6	49	by	IN	by
761	7	49	.12	NNP	.12
762	8	49	%	NN	%
763	9	49	,	,	,
764	10	49	a	DT	a
765	11	49	small	JJ	small
766	12	49	but	CC	but
767	13	49	significant	JJ	significant
768	14	49	improvement	NN	improvement
769	15	49	.	.	.
770	1	50	This	DT	This
771	2	50	prudential	JJ	prudential
772	3	50	mechanism	NN	mechanism
773	4	50	has	VBZ	have
774	5	50	a	DT	a
775	6	50	magnitude	NN	magnitude
776	7	50	of	IN	of
777	8	50	12,345.24	CD	12,345.24
778	9	50	dollars	NNS	dollar
779	10	50	per	IN	per
780	11	50	capita	NN	caput
781	12	50	,	,	,
782	13	50	making	VBG	make
783	14	50	it	PRP	it
784	15	50	a	DT	a
785	16	50	kind	NN	kind
786	17	50	of	IN	of
787	18	50	methodological	JJ	methodological
788	19	50	revolution	NN	revolution
789	20	50	.	.	.
790	1	51	This	DT	This
791	2	51	paper	NN	paper
792	3	51	is	VBZ	be
793	4	51	organized	VBN	organize
794	5	51	as	IN	a
795	6	51	follows	VBZ	follow
796	7	51	:	:	:
797	8	51	an	DT	an
798	9	51	explanation	NN	explanation
799	10	51	of	IN	of
800	11	51	the	DT	the
801	12	51	methodology	NN	methodology
802	13	51	is	VBZ	be
803	14	51	in	IN	in
804	15	51	Section	NN	Section
805	16	51	2	CD	2
806	17	51	.	.	.
807	1	52	However	RB	However
808	2	52	,	,	,
809	3	52	the	DT	the
810	4	52	company	NN	company
811	5	52	has	VBZ	have
812	6	52	a	DT	a
813	7	52	market	NN	market
814	8	52	capitalization	NN	capitalization
815	9	52	of	IN	of
816	10	52	$	$	$
817	11	52	3.2	CD	3.2
818	12	52	billion	CD	billion
819	13	52	.	.	.
820	1	53	But	CC	But
821	2	53	the	DT	the
822	3	53	record	NN	record
823	4	53	breaking	NN	breaking
824	5	53	heat	NN	heat
825	6	53	was	VBD	be
826	7	53	n't	RB	n't
827	8	53	uniformly	RB	uniformly
828	9	53	distributed	VBN	distribute
829	10	53	-	:	-
830	11	53	it	PRP	it
831	12	53	was	VBD	be
832	13	53	particularly	RB	particularly
833	14	53	pronounced	VBN	pronounce
834	15	53	at	IN	at
835	16	53	the	DT	the
836	17	53	top	NN	top
837	18	53	of	IN	of
838	19	53	the	DT	the
839	20	53	world	NN	world
840	21	53	,	,	,
841	22	53	showing	VBG	show
842	23	53	temperature	NN	temperature
843	24	53	anomalies	NNS	anomaly
844	25	53	above	IN	above
845	26	53	4	CD	4
846	27	53	degrees	NNS	degree
847	28	53	Celsius	NNP	Celsius
848	29	53	(	(	(
849	30	53	7.2	CD	7.2
850	31	53	degrees	NNS	degree
851	32	53	Fahrenheit	NNP	Fahrenheit
852	33	53	)	)	)
853	34	53	higher	JJR	higher
854	35	53	than	IN	than
855	36	53	the	DT	the
856	37	53	1951	CD	1951
857	38	53	to	TO	to
858	39	53	1980	CD	1980
859	40	53	average	NN	average
860	41	53	in	IN	in
861	42	53	this	DT	this
862	43	53	region	NN	region
863	44	53	.	.	.
864	1	54	Finally	RB	Finally
865	2	54	,	,	,
866	3	54	the	DT	the
867	4	54	first	JJ	first
868	5	54	billion-dollar	JJ	billion-dollar
869	6	54	trade	NN	trade
870	7	54	occured	VBD	occur
871	8	54	,	,	,
872	9	54	resulting	VBG	result
873	10	54	in	IN	in
874	11	54	a	DT	a
875	12	54	13.8	CD	13.8
876	13	54	%	NN	%
877	14	54	drop	NN	drop
878	15	54	.	.	.
879	1	55	Dates	NNS	Dates
880	2	55	can	MD	can
881	3	55	also	RB	also
882	4	55	be	VB	be
883	5	55	written	VBN	write
884	6	55	5/13/1972	CD	5/13/1972
885	7	55	.	.	.
886	1	56	This	DT	This
887	2	56	version	NN	version
888	3	56	of	IN	of
889	4	56	the	DT	the
890	5	56	Noobs	NNP	Noobs
891	6	56	operating	NN	operating
892	7	56	system	NN	system
893	8	56	contains	VBZ	contain
894	9	56	the	DT	the
895	10	56	most	RBS	most
896	11	56	recent	JJ	recent
897	12	56	version	NN	version
898	13	56	of	IN	of
899	14	56	Rasbian	JJ	Rasbian
900	15	56	Jessie	NNP	Jessie
901	16	56	(	(	(
902	17	56	released	VBN	release
903	18	56	2016-02-09	CD	2016-02-09
904	19	56	)	)	)
905	20	56	.	.	.
906	1	57	Rolls-Royce	NNP	Rolls-Royce
907	2	57	said	VBD	say
908	3	57	it	PRP	it
909	4	57	expects	VBZ	expect
910	5	57	its	PRP$	it
911	6	57	US	NNP	US
912	7	57	sales	NNS	sale
913	8	57	to	TO	to
914	9	57	remain	VB	remain
915	10	57	steady	JJ	steady
916	11	57	at	IN	at
917	12	57	about	IN	about
918	13	57	1,200	CD	1,200
919	14	57	cars	NNS	car
920	15	57	in	IN	in
921	16	57	1990	CD	1990
922	17	57	.	.	.
923	1	58	We	PRP	We
924	2	58	find	VBP	find
925	3	58	that	IN	that
926	4	58	``	``	``
927	5	58	a	DT	a
928	6	58	practive	NN	practive
929	7	58	of	IN	of
930	8	58	calculating	VBG	calculate
931	9	58	risk	NN	risk
932	10	58	...	:	...
933	11	58	for	IN	for
934	12	58	underprivilaged	JJ	underprivilaged
935	13	58	population	NN	population
936	14	58	''	''	''
937	15	58	of	IN	of
938	16	58	risk	NN	risk
939	17	58	seems	VBZ	seem
940	18	58	relevant	JJ	relevant
941	19	58	.	.	.
942	1	59	Once	RB	Once
943	2	59	the	DT	the
