indexInText	indexInSentence	sentenceNumber	token	posTag	lemma	neTag
149	20	8	.	.	.	
150	1	9	The	DT	the	
151	2	9	univeriate	JJ	univeriate	
152	3	9	risk	NN	risk	
153	4	9	measure	NN	measure	
154	5	9	|<w>|	NNP	|<w>|	ORG
155	6	9	can	MD	can	
156	7	9	also	RB	also	
157	8	9	be	VB	be	
158	9	9	used	VBN	use	
159	10	9	as	IN	as	
160	11	9	an	DT	an	
161	12	9	allocation	NN	allocation	
162	13	9	principle	NN	principle	
163	14	9	.	.	.	
164	1	10	The	DT	the	
165	2	10	Shapley	NNP	shapley	ORG
166	3	10	method	NN	method	
167	4	10	of	IN	of	
168	5	10	both	DT	both	
169	6	10	sides	NNS	side	
170	7	10	of	IN	of	
171	8	10	Eqs	NNP	eqs	PERSON
172	9	10	.	.	.	
173	1	11	(	-LRB-	(	
174	2	11	6)–(14	NN	6)–(14	
175	3	11	)	-RRB-	)	
176	4	11	is	VBZ	be	
177	5	11	based	VBN	base	
178	6	11	on	IN	on	
179	7	11	cooperative	JJ	cooperative	
180	8	11	game	NN	game	
181	9	11	theory	NN	theory	
182	10	11	.	.	.	
183	1	12	We	PRP	we	
184	2	12	found	VBD	find	
185	3	12	that	IN	that	
186	4	12	the	DT	the	
187	5	12	model	NN	model	
188	6	12	Mw	NNP	mw	
189	7	12	,	,	,	
190	8	12	x	SYM	x	
191	9	12	=	SYM	=	
192	10	12	wx^1.2	WDT	wx^1.2	
193	11	12	approximated	VBD	approximate	
194	12	12	the	DT	the	
195	13	12	system	NN	system	
196	14	12	's	POS	's	
197	15	12	behavior	NN	behavior	
198	16	12	adequately	RB	adequately	
199	17	12	.	.	.	
200	1	13	Dr.	NNP	dr.	
201	2	13	Denault	NNP	denault	PERSON
202	3	13	proved	VBD	prove	
203	4	13	that	IN	that	
204	5	13	this	DT	this	
205	6	13	method	NN	method	
206	7	13	,	,	,	
207	8	13	originally	RB	originally	
208	9	13	used	VBN	use	
209	10	13	to	TO	to	
210	11	13	allocate	VB	allocate	
211	12	13	the	DT	the	
212	13	13	total	JJ	total	
213	14	13	cost	NN	cost	
214	15	13	between	IN	between	
215	16	13	players	NNS	player	
216	17	13	in	IN	in	
217	18	13	coalitional	JJ	coalitional	
218	19	13	games	NNS	game	
219	20	13	context	NN	context	
220	21	13	,	,	,	
221	22	13	can	MD	can	
222	23	13	be	VB	be	
223	24	13	easily	RB	easily	
224	25	13	adapted	VBN	adapt	
225	26	13	.	.	.	
226	1	14	The	DT	the	
227	2	14	case	NN	case	
228	3	14	of	IN	of	
229	4	14	insurance	NN	insurance	
230	5	14	groups	NNS	group	
231	6	14	,	,	,	
232	7	14	stated	VBN	state	
233	8	14	in	IN	in	
234	9	14	Tab	NNP	tab	
235	10	14	.	.	.	
236	11	14	2	CD	2	CARDINAL
237	12	14	,	,	,	
238	13	14	requires	VBZ	require	
239	14	14	special	JJ	special	
240	15	14	treatment	NN	treatment	
241	16	14	.	.	.	
242	1	15	The	DT	the	
243	2	15	literature	NN	literature	
244	3	15	on	IN	on	
245	4	15	the	DT	the	
246	5	15	subject	NN	subject	
247	6	15	of	IN	of	
248	7	15	capital	NN	capital	
249	8	15	allocation	NN	allocation	
250	9	15	methods	NNS	method	
251	10	15	is	VBZ	be	
252	11	15	very	RB	very	
253	12	15	rich	JJ	rich	
254	13	15	for	IN	for	
255	14	15	every	DT	every	
256	15	15	even	JJ	even	
257	16	15	publication	NN	publication	
258	17	15	year	NN	year	DATE
259	18	15	2008	CD	2008	DATE
260	19	15	,	,	,	DATE
261	20	15	2010	CD	2010	DATE
262	21	15	,	,	,	DATE
263	22	15	2012	CD	2012	DATE
264	23	15	,	,	,	DATE
265	24	15	2014	CD	2014	
266	25	15	etc	NN	etc	
267	26	15	.	.	.	
268	1	16	Several	JJ	several	
269	2	16	principles	NNS	principle	
270	3	16	have	VBP	have	
271	4	16	been	VBN	be	
272	5	16	proposed	VBN	propose	
273	6	16	later	RB	later	
274	7	16	than	IN	than	
275	8	16	the	DT	the	
276	9	16	deadline	NN	deadline	
277	10	16	of	IN	of	
278	11	16	6	CD	6	TIME
279	12	16	p.m.	RB	p.m.	TIME
280	13	16	over	IN	over	TIME
281	14	16	the	DT	the	
282	15	16	last	JJ	last	
283	16	16	twenty	CD	twenty	
284	17	16	years	NNS	year	
285	18	16	.	.	.	
286	1	17	In	IN	in	
287	2	17	this	DT	this	
288	3	17	context	NN	context	
289	4	17	,	,	,	
290	5	17	i.e.	FW	i.e.	
291	6	17	SCR	NNP	scr	
292	7	17	calculations	NNS	calculation	
293	8	17	,	,	,	
294	9	17	a	DT	a	
295	10	17	multi	NN	multi	
296	11	17	-	HYPH	-	
297	12	17	variate	NN	variate	
298	13	17	analysis	NN	analysis	
299	14	17	was	VBD	be	
300	15	17	defined	VBN	define	
301	16	17	.	.	.	
302	1	18	They	PRP	they	
303	2	18	are	VBP	be	
304	3	18	based	VBN	base	
305	4	18	on	IN	on	
306	5	18	a	DT	a	
307	6	18	strengthening	NN	strengthening	
308	7	18	of	IN	of	
309	8	18	risk	NN	risk	
310	9	18	control	NN	control	
311	10	18	and	CC	and	
312	11	18	minimization	NN	minimization	
313	12	18	of	IN	of	
314	13	18	a	DT	a	
315	14	18	ruin	NN	ruin	
316	15	18	probability	NN	probability	
317	16	18	,	,	,	
318	17	18	Boolean	NNP	boolean	PERSON
319	18	18	et	NNP	et	PERSON
320	19	18	al	NNP	al	PERSON
321	20	18	.	.	.	
322	1	19	first	RB	first	ORDINAL
323	2	19	introduced	VBN	introduce	
324	3	19	this	DT	this	
325	4	19	method	NN	method	
326	5	19	.	.	.	
327	1	20	St.	NNP	st.	GPE
328	2	20	Francis	NNP	francis	GPE
329	3	20	began	VBD	begin	
330	4	20	selling	VBG	sell	
331	5	20	commodities	NNS	commodity	
332	6	20	on	IN	on	
333	7	20	three	CD	three	CARDINAL
334	8	20	different	JJ	different	
335	9	20	exchanges	NNS	exchange	
336	10	20	in	IN	in	
337	11	20	the	DT	the	DATE
338	12	20	same	JJ	same	DATE
339	13	20	year	NN	year	DATE
340	14	20	.	.	.	
341	1	21	However	RB	however	
342	2	21	,	,	,	
343	3	21	we	PRP	we	
344	4	21	were	VBD	be	
345	5	21	n't	RB	not	
346	6	21	able	JJ	able	
347	7	21	to	TO	to	
348	8	21	reach	VB	reach	
349	9	21	Profs	NNP	profs	
350	10	21	.	.	.	
351	1	22	Kowalski	NNP	kowalski	PERSON
352	2	22	or	CC	or	
353	3	22	Gambel	NNP	gambel	PERSON
354	4	22	for	IN	for	
355	5	22	comment	NN	comment	
356	6	22	.	.	.	
357	1	23	The	DT	the	
358	2	23	rusty	JJ	rusty	
359	3	23	vehicle	NN	vehicle	
360	4	23	sped	VBN	speed	
361	5	23	around	IN	around	
362	6	23	the	DT	the	
363	7	23	corner	NN	corner	
364	8	23	on	IN	on	
365	9	23	Bragg	NNP	bragg	PERSON
366	10	23	Blvd	NNP	blvd	PERSON
367	11	23	.	.	.	
368	12	23	,	,	,	
369	13	23	followed	VBD	follow	
370	14	23	closely	RB	closely	
371	15	23	by	IN	by	
372	16	23	a	DT	a	
373	17	23	squad	NN	squad	
374	18	23	of	IN	of	
375	19	23	paratroopers	NNS	paratrooper	
376	20	23	.	.	.	
377	1	24	On	IN	on	
378	2	24	Jan.	NNP	jan.	DATE
379	3	24	25th	NN	25th	DATE
380	4	24	,	,	,	DATE
381	5	24	2016	CD	2016	DATE
382	6	24	,	,	,	
383	7	24	the	DT	the	
384	8	24	deputy	NN	deputy	
385	9	24	commander	NN	commander	
386	10	24	of	IN	of	
387	11	24	USFK	NNP	usfk	ORG
388	12	24	made	VBD	make	
389	13	24	a	DT	a	
390	14	24	statement	NN	statement	
391	15	24	pertaining	VBG	pertain	
392	16	24	to	IN	to	
393	17	24	aerial	NN	aerial	
394	18	24	shows	NNS	show	
395	19	24	of	IN	of	
396	20	24	force	NN	force	
397	21	24	.	.	.	
398	22	24	"	''	"	
399	1	25	The	DT	the	
400	2	25	1st	JJ	1st	ORDINAL
401	3	25	Gen.	NNP	gen.	
402	4	25	Dreamcast	NNP	dreamcast	PERSON
403	5	25	was	VBD	be	
404	6	25	a	DT	a	
405	7	25	pinnacle	NN	pinnacle	
406	8	25	achievement	NN	achievement	
407	9	25	in	IN	in	
408	10	25	computer	NN	computer	
409	11	25	engineering	NN	engineering	
410	12	25	,	,	,	
411	13	25	"	''	"	
412	14	25	said	VBD	say	
413	15	25	John	NNP	john	PERSON
414	16	25	Stevens	NNP	stevens	PERSON
415	17	25	.	.	.	
416	1	26	To	TO	to	
417	2	26	be	VB	be	
418	3	26	clear	JJ	clear	
419	4	26	,	,	,	
420	5	26	that	DT	that	
421	6	26	's	VBZ	'	
422	7	26	John	NNP	john	PERSON
423	8	26	M.	NNP	m.	PERSON
424	9	26	Stevens	NNP	stevens	PERSON
425	10	26	.	.	.	
426	1	27	The	DT	the	
427	2	27	coherence	NN	coherence	
428	3	27	of	IN	of	
429	4	27	the	DT	the	
430	5	27	allocation	NN	allocation	
431	6	27	method	NN	method	
432	7	27	for	IN	for	
433	8	27	Pickens	NNP	pickens	GPE
434	9	27	County	NNP	county	GPE
435	10	27	,	,	,	
436	11	27	S.C.	NNP	s.c.	GPE
437	12	27	depends	VBZ	depend	
438	13	27	on	IN	on	
439	14	27	the	DT	the	
440	15	27	properties	NNS	property	
441	16	27	of	IN	of	
442	17	27	the	DT	the	
443	18	27	selected	VBN	select	
444	19	27	risk	NN	risk	
445	20	27	measure	NN	measure	
446	21	27	.	.	.	
447	1	28	Star	NNP	star	
448	2	28	Wars	NNPS	wars	
449	3	28	:	:	:	
450	1	29	Episode	NNP	episode	
451	2	29	VII	NNP	vii	
452	3	29	-	HYPH	-	
453	4	29	The	NNP	the	
454	5	29	Force	NNP	force	
455	6	29	Awakens	NNP	awakens	
456	7	29	is	VBZ	be	
457	8	29	a	DT	a	
458	9	29	2015	CD	2015	DATE
459	10	29	American	NNP	american	NORP
460	11	29	epic	JJ	epic	
461	12	29	space	NN	space	
462	13	29	opera	NN	opera	
463	14	29	film	NN	film	
464	15	29	directed	VBN	direct	
465	16	29	,	,	,	
466	17	29	co	RB	co	
467	18	29	-	,	-	
468	19	29	produced	VBN	produce	
469	20	29	,	,	,	
470	21	29	and	CC	and	
471	22	29	co	RB	co	
472	23	29	-	HYPH	-	
473	24	29	written	VBN	write	
474	25	29	by	IN	by	
475	26	29	J.	NNP	j.	PERSON
476	27	29	J.	NNP	j.	PERSON
477	28	29	Abrams	NNP	abrams	PERSON
478	29	29	.	.	.	
479	1	30	Did	VBD	do	
480	2	30	you	PRP	you	
481	3	30	enjoy	VB	enjoy	
482	4	30	living	VBG	live	
483	5	30	in	IN	in	
484	6	30	Washington	NNP	washington	GPE
485	7	30	,	,	,	
486	8	30	D.C.	NNP	d.c.	GPE
487	9	30	?	.	?	
488	1	31	Substituting	VBG	substitute	
489	2	31	w/o	NNP	w/o	
490	3	31	for	IN	for	
491	4	31	without	IN	without	
492	5	31	,	,	,	
493	6	31	for	IN	for	
494	7	31	example	NN	example	
495	8	31	,	,	,	
496	9	31	can	MD	can	
497	10	31	save	VB	save	
498	11	31	valuable	JJ	valuable	
499	12	31	time	NN	time	
500	13	31	and	CC	and	
501	14	31	space	NN	space	
502	15	31	.	.	.	
503	1	32	A	DT	a	
504	2	32	choices	NNS	choice	
505	3	32	of	IN	of	
506	4	32	a	DT	a	
507	5	32	dependence	NN	dependence	
508	6	32	model	NN	model	
509	7	32	(	-LRB-	(	
510	8	32	for	IN	for	
511	9	32	more	JJR	more	
512	10	32	details	NNS	detail	
513	11	32	see	VB	see	
514	12	32	Fig	NNP	fig	ORG
515	13	32	.	.	.	
516	1	33	4	LS	4	CARDINAL
517	2	33	)	-RRB-	)	
518	3	33	between	IN	between	
519	4	33	different	JJ	different	
520	5	33	risks	NNS	risk	
521	6	33	and	CC	and	
522	7	33	of	IN	of	
523	8	33	an	DT	an	
524	9	33	aggregation	NN	aggregation	
525	10	33	methodology	NN	methodology	
526	11	33	are	VBP	be	
527	12	33	both	DT	both	
528	13	33	required	VBN	require	
529	14	33	.	.	.	
530	1	34	Two	CD	two	CARDINAL
531	2	34	papers	NNS	paper	
532	3	34	by	IN	by	
533	4	34	Mr.	NNP	mr.	
534	5	34	Tasche	NNP	tasche	PERSON
535	6	34	and	CC	and	
536	7	34	Mrs.	NNP	mrs.	
537	8	34	deWry	NNP	dewry	PERSON
538	9	34	followed	VBD	follow	
539	10	34	by	IN	by	
540	11	34	Drs	NNP	drs	GPE
541	12	34	.	.	.	
542	1	35	dePaul	NNP	depaul	
543	2	35	&	CC	&	
544	3	35	Jones	NNP	jones	
545	4	35	co.	NNS	co.	
546	5	35	devoted	VBD	devote	
547	6	35	two	CD	two	CARDINAL
548	7	35	papers	NNS	paper	
549	8	35	to	TO	to	
550	9	35	describe	VB	describe	
551	10	35	Euler	NNP	euler	ORG
552	11	35	-	HYPH	-	ORG
553	12	35	MacIntosh	NNP	macintosh	ORG
554	13	35	’s	NN	’	
555	14	35	method	NN	method	
556	15	35	.	.	.	
557	1	36	Please	UH	please	
558	2	36	send	VB	send	
559	3	36	a	DT	a	
560	4	36	bar	NN	bar	
561	5	36	of	IN	of	
562	6	36	pure	JJ	pure	
563	7	36	chocolate	NN	chocolate	
564	8	36	to	IN	to	
565	9	36	100	CD	100	CARDINAL
566	10	36	Springview	NNP	springview	ORG
567	11	36	Drive	NNP	drive	ORG
568	12	36	by	IN	by	
569	13	36	Mar.	NNP	mar.	
570	1	37	It	PRP	it	
571	2	37	is	VBZ	be	
572	3	37	used	VBN	use	
573	4	37	as	IN	as	
574	5	37	a	DT	a	
575	6	37	designation	NN	designation	
576	7	37	for	IN	for	
577	8	37	a	DT	a	
578	9	37	person	NN	person	
579	10	37	who	WP	who	
580	11	37	has	VBZ	have	
581	12	37	obtained	VBN	obtain	
582	13	37	a	DT	a	
583	14	37	Research	NN	research	
584	15	37	Doctorate	NNP	doctorate	
585	16	37	(	-LRB-	(	
586	17	37	i.e.	FW	i.e.	
587	18	37	Ph.D.	NN	ph.d.	
588	19	37	,	,	,	
589	20	37	Ed	NNP	ed	PERSON
590	21	37	.	.	.	
591	1	38	D	NN	d	
592	2	38	)	-RRB-	)	
593	3	38	.	.	.	
594	1	39	He	PRP	he	
595	2	39	tweeted	VBD	tweet	
596	3	39	from	IN	from	
597	4	39	near	IN	near	
598	5	39	the	DT	the	
599	6	39	U.S.-Mexican	JJ	u.s.-mexican	NORP
600	7	39	border	NN	border	
601	8	39	.	.	.	
602	1	40	Netwhatevers	NNS	netwhatevers	
603	2	40	,	,	,	
604	3	40	Inc.	NNP	inc.	
605	4	40	stocks	NNS	stock	
606	5	40	are	VBP	be	
607	6	40	in	IN	in	
608	7	40	a	DT	a	
609	8	40	drastic	JJ	drastic	
610	9	40	slump	NN	slump	
611	10	40	according	VBG	accord	
612	11	40	to	IN	to	
613	12	40	recent	JJ	recent	
614	13	40	reportings	NNS	reporting	
615	14	40	.	.	.	
616	1	41	West	NNP	west	LOC
617	2	41	's	POS	's	
618	3	41	"	``	"	
619	4	41	Father	NNP	father	
620	5	41	Stretch	NNP	stretch	
621	6	41	My	PRP$	my	
622	7	41	Hands	NNPS	hands	
623	8	41	(	-LRB-	(	
624	9	41	Pt	NNP	pt	
625	10	41	.	.	.	
626	11	41	1	CD	1	CARDINAL
627	12	41	)	-RRB-	)	
628	1	42	"	``	"	
629	2	42	inspired	VBD	inspire	
630	3	42	the	DT	the	
631	4	42	best	JJS	good	
632	5	42	meme	NN	meme	
633	6	42	of	IN	of	
634	7	42	the	DT	the	DATE
635	8	42	year	NN	year	DATE
636	9	42	so	RB	so	DATE
637	10	42	far	RB	far	DATE
638	11	42	.	.	.	
639	1	43	The	DT	the	
640	2	43	Millennials	NNP	millennials	
641	3	43	(	-LRB-	(	
642	4	43	born	VBN	bear	
643	5	43	c.	IN	c.	
644	6	43	1981	CD	1981	DATE
645	7	43	-	SYM	-	DATE
646	8	43	2000	CD	2000	DATE
647	9	43	)	-RRB-	)	
648	10	43	having	VBG	have	
649	11	43	been	VBN	be	
650	12	43	born	VBN	bear	
651	13	43	before	IN	before	
652	14	43	the	DT	the	
653	15	43	turn	NN	turn	
654	16	43	of	IN	of	
655	17	43	the	DT	the	
656	18	43	century	NN	century	
657	19	43	give	VB	give	
658	20	43	way	NN	way	
659	21	43	to	IN	to	
660	22	43	the	DT	the	
661	23	43	rise	NN	rise	
662	24	43	of	IN	of	
663	25	43	Generation	NNP	generation	ORG
664	26	43	Y	NNP	y	ORG
665	27	43	&	CC	&	ORG
666	28	43	Generation	NNP	generation	ORG
667	29	43	Z	NNP	z	ORG
668	30	43	in	IN	in	
669	31	43	Western	JJ	western	NORP
670	32	43	countries	NNS	country	
671	33	43	.	.	.	
672	1	44	The	DT	the	EVENT
673	2	44	Journal	NNP	journal	EVENT
674	3	44	of	IN	of	EVENT
675	4	44	Asian	NNP	asian	EVENT
676	5	44	and	CC	and	EVENT
677	6	44	African	NNP	african	EVENT
678	7	44	Studies	NNPS	studies	EVENT
679	8	44	(	-LRB-	(	EVENT
680	9	44	J.	NNP	j.	
681	10	44	Asian	NNP	asian	
682	11	44	Afr	NNP	afr	
683	12	44	.	.	.	
684	1	45	Std	NNP	std	
685	2	45	.	.	.	
686	3	45	)	-RRB-	)	
687	4	45	is	VBZ	be	
688	5	45	a	DT	a	
689	6	45	bimonthly	JJ	bimonthly	
690	7	45	peer	NN	peer	
691	8	45	-	HYPH	-	
692	9	45	reviewed	VBN	review	
693	10	45	academic	JJ	academic	
694	11	45	journal	NN	journal	
695	12	45	that	WDT	that	
696	13	45	covers	VBZ	cover	
697	14	45	research	NN	research	
698	15	45	in	IN	in	
699	16	45	the	DT	the	
700	17	45	fields	NNS	field	
701	18	45	of	IN	of	
702	19	45	Asian	JJ	asian	NORP
703	20	45	and	CC	and	
704	21	45	African	JJ	african	NORP
705	22	45	studies	NNS	study	
706	23	45	.	.	.	
707	1	46	The	DT	the	
708	2	46	same	JJ	same	
709	3	46	goes	VBZ	go	
710	4	46	for	IN	for	
711	5	46	eə	NN	eə	
712	6	46	vs.	IN	vs.	
713	7	46	ɛə.	NN	ɛə.	
714	1	47	This	DT	this	
715	2	47	displaced	VBD	displace	
716	3	47	the	DT	the	
717	4	47	existing	VBG	exist	
718	5	47	Doctor	NN	doctor	
719	6	47	of	IN	of	
720	7	47	Philosophy	NNP	philosophy	
721	8	47	degree	NN	degree	
722	9	47	in	IN	in	
723	10	47	some	DT	some	
724	11	47	Universities	NNS	university	
725	12	47	;	:	;	
726	13	47	for	IN	for	
727	14	47	instance	NN	instance	
728	15	47	,	,	,	
729	16	47	the	DT	the	
730	17	47	higher	JJR	high	
731	18	47	doctorate	NN	doctorate	
732	19	47	in	IN	in	
733	20	47	the	DT	the	
734	21	47	faculty	NN	faculty	
735	22	47	of	IN	of	
736	23	47	philosophy	NN	philosophy	
737	24	47	at	IN	at	
738	25	47	the	DT	the	ORG
739	26	47	University	NNP	university	ORG
740	27	47	of	IN	of	ORG
741	28	47	St	NNP	st	ORG
742	29	47	Andrews	NNP	andrews	ORG
743	30	47	was	VBD	be	
744	31	47	discontinued	VBN	discontinue	
745	32	47	and	CC	and	
746	33	47	replaced	VBN	replace	
747	34	47	with	IN	with	
748	35	47	the	DT	the	
749	36	47	Ph	NNP	ph	
750	37	47	.	.	.	
751	1	48	D.(research	NN	d.(research	
752	2	48	doctorate	NN	doctorate	
753	3	48	)	-RRB-	)	
754	4	48	.	.	.	
755	1	49	Both	DT	both	
756	2	49	Mrs.(for	NNP	mrs.(for	
757	3	49	married	VBD	marry	
758	4	49	)	-RRB-	)	
759	5	49	and	CC	and	
760	6	49	Miss	NNP	miss	
761	7	49	(	-LRB-	(	
762	8	49	for	IN	for	
763	9	49	unmarried	JJ	unmarried	
764	10	49	)	-RRB-	)	
765	11	49	were	VBD	be	
766	12	49	originally	RB	originally	
767	13	49	contractions	NNS	contraction	
768	14	49	of	IN	of	
769	15	49	Mistress	NNP	mistress	ORG
770	16	49	.	.	.	
771	1	50	Others	NNS	others	
772	2	50	are	VBP	be	
773	3	50	based	VBN	base	
774	4	50	on	IN	on	
775	5	50	optimizing	VBG	optimize	
776	6	50	a	DT	a	
777	7	50	multivariate	JJ	multivariate	
778	8	50	ruin	NN	ruin	
779	9	50	probability	NN	probability	
780	10	50	or	CC	or	
781	11	50	some	DT	some	
782	12	50	multivariate	JJ	multivariate	
783	13	50	risk	NN	risk	
784	14	50	indicators	NNS	indicator	
785	15	50	.	.	.	
786	1	51	[	-LRB-	[	
787	2	51	2,4,7,23	CD	2,4,7,23	
788	3	51	]	-RRB-	]	
789	1	52	In	IN	in	
790	2	52	this	DT	this	
791	3	52	paper	NN	paper	
792	4	52	,	,	,	
793	5	52	we	PRP	we	
794	6	52	focus	VBP	focus	
795	7	52	on	IN	on	
796	8	52	the	DT	the	
797	9	52	work	NN	work	
798	10	52	of	IN	of	
799	11	52	Garfield	NNP	garfield	PERSON
800	12	52	(	-LRB-	(	
801	13	52	e.g.	RB	e.g.	
802	14	52	,	,	,	
803	15	52	1955	CD	1955	
804	16	52	)	-RRB-	)	
805	17	52	as	IN	as	
806	18	52	an	DT	an	
807	19	52	allocation	NN	allocation	
808	20	52	technique	NN	technique	
809	21	52	by	IN	by	
810	22	52	minimizing	VBG	minimize	
811	23	52	some	DT	some	
812	24	52	risk	NN	risk	
813	25	52	indicators	NNS	indicator	
814	26	52	.	.	.	
815	1	53	In	IN	in	
816	2	53	the	DT	the	
817	3	53	prescribed	JJ	prescribed	
818	4	53	Standard	NNP	standard	
819	5	53	Formula	NNP	formula	
820	6	53	by	IN	by	
821	7	53	Tobin	NNP	tobin	
822	8	53	’s	NNP	’s	
823	9	53	q	NNP	q	
824	10	53	(	-LRB-	(	
825	11	53	Bitzer	NNP	bitzer	ORG
826	12	53	,	,	,	
827	13	53	2005	CD	2005	DATE
828	14	53	;	:	;	
829	15	53	Deng	NNP	deng	PERSON
830	16	53	,	,	,	
831	17	53	2007	CD	2007	DATE
832	18	53	)	-RRB-	)	
833	19	53	,	,	,	
834	20	53	risks	NNS	risk	
835	21	53	aggregation	NN	aggregation	
836	22	53	is	VBZ	be	
837	23	53	done	VBN	do	
838	24	53	using	VBG	use	
839	25	53	correlation	NN	correlation	
840	26	53	matrices	NNS	matrix	
841	27	53	that	WDT	that	
842	28	53	connect	VBP	connect	
843	29	53	families	NNS	family	
844	30	53	and	CC	and	
845	31	53	subfamilies	NNS	subfamily	
846	32	53	of	IN	of	
847	33	53	risks	NNS	risk	
848	34	53	.	.	.	
849	1	54	It	PRP	it	
850	2	54	is	VBZ	be	
851	3	54	described	VBN	describe	
852	4	54	in	IN	in	
853	5	54	detail	NN	detail	
854	6	54	in	IN	in	
855	7	54	Denault	NNP	denault	GPE
856	8	54	’s	CD	’s	
857	9	54	paper	NN	paper	
